LANG,ITEM,DETER,PERSON,neg.frag,spec.know,spec.unkn,irr.nonsp,question,condit,indir.neg,compar,dir.neg,free.ch
GERMAN,01n,1,1,1,6,6,6,6,6,6,6,1,6
GERMAN,01e,1,1,6,1,1,1,1,1,1,6,6,6
GERMAN,01i,1,1,6,6,1,1,1,1,1,1,6,1
GERMAN,01j,0,0,6,6,6,6,1,1,1,1,6,6
GERMAN,01jd,1,0,6,6,6,6,6,6,1,1,6,1
DUTCH,02d,1,1,6,6,6,1,1,1,1,1,6,1
DUTCH,02e,1,0,6,6,6,6,1,1,1,1,6,6
DUTCH,02i,1,1,6,1,1,1,1,1,1,6,6,6
DUTCH,02n,1,1,1,6,6,6,6,6,6,6,1,6
ENGLISH,03a,1,1,6,6,6,6,1,1,1,1,1,1
ENGLISH,03e,0,0,6,6,6,6,1,1,1,1,1,6
ENGLISH,03n,1,1,1,6,6,6,6,6,6,6,1,6
ENGLISH,03s,1,1,6,1,1,1,1,1,6,6,6,6
SWEDISH,04i,1,1,1,6,6,6,6,6,6,6,1,6
SWEDISH,04n,1,1,6,1,1,1,1,1,1,1,1,6
SWEDISH,04s,1,1,6,6,6,6,6,6,6,1,6,1
ICELAND,05ei,1,1,6,1,1,1,1,1,6,6,6,6
ICELAND,05en,1,1,1,6,6,6,6,6,6,6,1,6
ICELAND,05n,1,1,6,6,6,6,6,6,1,6,1,6
ICELAND,05no,1,1,6,6,6,6,1,6,1,1,6,6
ICELAND,05s,0,1,6,6,6,6,6,6,6,6,6,1
LATIN,06a,1,1,6,6,1,1,1,1,6,6,6,9
LATIN,06d,1,1,6,1,6,6,6,6,6,6,6,6
LATIN,06l,1,1,6,6,6,6,6,6,6,6,6,1
LATIN,06n,1,1,1,6,6,6,6,6,6,6,1,6
LATIN,06q,1,1,6,6,6,6,1,1,1,1,6,6
LATIN,06v,1,1,6,6,6,6,6,6,6,6,6,1
PORTUG,07a,1,1,6,1,1,1,1,1,6,6,6,6
PORTUG,07n,1,1,1,6,6,6,6,6,1,6,1,6
PORTUG,07q,1,1,6,6,1,1,1,1,1,1,1,1
CATALAN,08a,1,1,6,1,1,1,1,1,1,6,6,6
CATALAN,08c,1,1,1,6,6,6,1,1,1,1,1,6
CATALAN,08q,1,1,6,6,6,6,6,6,6,1,6,1
FRENCH,09n,1,1,6,6,6,6,6,6,6,1,6,1
FRENCH,09p,1,1,1,6,6,6,1,1,1,1,1,6
FRENCH,09que,1,1,6,6,6,6,1,1,1,1,1,1
FRENCH,09quel,1,1,6,1,1,1,1,1,6,6,6,6
ITALIAN,10n,1,1,1,6,6,6,1,6,1,6,1,6
ITALIAN,10q,1,1,6,1,1,1,1,1,1,6,6,6
ITALIAN,10u,1,1,6,6,6,6,6,6,6,1,6,1
ROMANIAN,11n,1,1,1,6,6,6,6,6,1,6,1,6
ROMANIAN,11o,1,1,6,6,6,6,6,6,6,1,6,1
ROMANIAN,11v,1,1,6,1,1,1,1,1,6,6,6,6
ROMANIAN,11vr,1,0,6,6,6,6,1,1,1,6,6,6
GREEK,12d,0,1,6,6,6,6,6,1,6,1,6,1
GREEK,12k,0,1,6,6,1,1,1,1,6,6,6,6
GREEK,12t,0,1,1,6,6,1,1,1,1,6,1,6
BULGARIAN,13n,0,1,1,6,6,6,6,6,1,6,1,6
BULGARIAN,13nj,0,1,6,1,1,1,1,1,6,6,6,6
BULGARIAN,13t,0,1,6,6,6,6,6,1,1,1,6,1
SERBIAN,14b,1,1,6,6,6,6,1,1,1,1,6,1
SERBIAN,14i,1,1,6,6,6,6,1,1,1,1,6,6
SERBIAN,14ne,1,1,6,1,1,1,6,6,6,6,6,6
SERBIAN,14ni,1,1,1,6,6,6,6,6,6,6,1,6
POLISH,15k,1,1,6,6,6,6,1,1,1,1,6,1
POLISH,15n,1,1,1,6,6,6,6,6,6,6,1,6
POLISH,15s,1,1,6,1,1,1,1,1,1,6,6,6
RUSSIAN,16b,1,1,6,6,6,6,6,1,1,1,6,6
RUSSIAN,16k,1,1,6,1,6,6,6,6,6,6,6,6
RUSSIAN,16l,1,1,6,6,6,1,1,1,1,1,6,6
RUSSIAN,16n,1,1,1,6,6,6,6,6,6,6,1,6
RUSSIAN,16ni,1,1,6,6,6,1,1,1,6,6,6,6
RUSSIAN,16t,1,1,6,6,1,1,1,1,6,6,6,6
RUSSIAN,16u,1,1,6,6,6,6,6,6,6,6,6,1
LITHUANIAN,17b,1,1,6,6,6,6,6,6,6,1,6,1
LITHUANIAN,17j,1,0,6,6,6,6,6,6,1,6,1,6
LITHUANIAN,17kai,1,1,6,1,6,6,6,6,6,6,6,6
LITHUANIAN,17kaz,1,1,6,6,1,1,1,1,6,6,6,6
LITHUANIAN,17ni,0,1,1,6,6,6,6,6,6,6,1,6
LITHUANIAN,17no,1,1,6,6,6,1,1,1,1,1,6,6
LATVIAN,18j,1,1,6,6,6,6,6,6,1,1,6,1
LATVIAN,18k,1,1,6,1,1,1,1,1,6,6,6,6
LATVIAN,18n,1,1,1,6,6,6,6,6,6,6,1,6
IRISH,19a,1,1,1,6,6,6,1,1,1,1,1,1
IRISH,19ar,1,1,6,6,6,6,1,1,1,1,1,1
IRISH,19d,0,0,1,6,6,6,1,1,1,1,1,6
IRISH,19e,1,1,6,1,1,1,6,6,6,6,6,6
OSSETIC,20d,1,1,6,1,1,6,6,6,6,6,6,6
OSSETIC,20dd,1,1,6,6,6,6,6,6,6,1,6,1
OSSETIC,20i,1,1,6,6,6,1,1,1,1,6,6,6
OSSETIC,20m,1,1,1,6,6,6,6,6,6,6,1,6
PERSIAN,21h,1,1,1,6,6,6,1,6,1,6,1,6
PERSIAN,21i,1,1,6,1,1,1,1,1,1,6,1,6
HINDI,22b,0,1,6,6,6,1,1,1,1,1,1,1
HINDI,22k,0,1,6,1,1,1,1,1,1,6,1,6
TURKISH,23b,1,1,6,1,1,1,1,1,1,6,1,6
TURKISH,23he,1,1,6,6,6,1,1,1,1,1,1,1
TURKISH,23hi,1,1,1,6,6,6,1,6,1,6,1,6
KAZAKH,24a,1,1,6,1,1,6,6,6,6,6,6,6
KAZAKH,24b,0,1,6,1,1,1,1,1,1,6,6,6
KAZAKH,24bd,1,1,6,6,6,6,1,1,6,1,6,1
KAZAKH,24e,1,1,1,6,6,6,6,6,6,6,1,6
YAKUT,25b,1,1,6,6,6,6,6,6,6,6,6,1
YAKUT,25d,1,1,1,6,6,6,6,6,1,1,1,1
YAKUT,25em,1,1,6,6,6,1,1,1,6,6,6,6
YAKUT,25er,1,1,6,1,1,6,6,6,6,6,6,6
HUNGARIAN,26a,1,1,6,6,6,6,6,1,1,1,6,1
HUNGARIAN,26s,0,1,1,6,6,6,6,6,6,6,1,6
HUNGARIAN,26v,1,1,6,1,1,1,1,1,1,9,9,9
FINNISH,27e,1,0,6,1,6,6,6,6,6,6,6,6
FINNISH,27h,1,1,6,6,6,6,6,1,6,1,6,1
FINNISH,27ka,1,1,6,6,6,6,1,6,1,1,1,6
FINNISH,27ki,1,1,6,6,1,1,1,1,6,6,6,6
NANAY,28d,1,1,1,6,6,1,1,1,1,1,1,6
NANAY,28dx,1,1,6,6,6,6,6,6,6,6,6,1
NANAY,28n,1,1,6,1,1,6,6,6,6,6,6,6
LEZGIAN,29WH,1,1,6,1,1,1,1,1,6,6,6,6
LEZGIAN,29X,1,1,1,6,6,6,6,6,1,6,1,6
LEZGIAN,29xa,1,1,6,6,6,6,6,6,6,1,6,1
MALTESE,30e,1,1,1,6,6,6,6,6,1,1,1,6
MALTESE,30x,1,1,6,1,1,1,1,1,6,6,6,6
HEBREW,31a,1,1,1,6,6,6,6,6,1,6,1,6
HEBREW,31i,0,1,6,6,6,6,1,1,1,6,1,6
HEBREW,31k,1,0,6,6,6,6,6,6,6,1,6,1
HEBREW,31s,1,1,6,1,1,1,1,1,1,6,6,6
HAUSA,32k,1,1,6,6,6,6,6,6,1,1,1,1
HAUSA,32w,1,1,6,1,1,1,1,1,6,6,6,6
SWAHILI,33CL,1,1,6,6,6,6,1,1,1,1,1,1
SWAHILI,33GN,1,1,6,1,1,1,1,1,1,6,1,6
GEORGIAN,34a,1,1,1,6,6,1,1,1,6,6,1,6
GEORGIAN,34m,1,1,6,6,6,1,1,1,1,1,6,6
GEORGIAN,34y,1,1,6,1,1,6,6,6,6,6,6,6
KANNADA,35a,1,1,6,6,6,1,1,1,6,6,6,6
KANNADA,35o,1,1,6,6,1,6,6,6,6,6,6,6
KANNADA,35u,1,1,6,6,6,6,6,6,1,1,1,1
CHINESE,36b,1,1,6,6,6,1,1,1,1,6,1,6
CHINESE,36GN,0,1,6,1,1,6,6,6,6,6,6,6
CHINESE,36r,1,0,6,6,6,6,6,6,1,1,1,1
CHINESE,36y,1,1,6,6,6,6,6,6,6,6,1,6
QUECHUA,37b,0,1,6,1,1,6,6,6,6,6,6,6
QUECHUA,37p,0,1,6,6,6,1,1,1,1,1,1,1
JAPANESE,38d,1,1,6,6,6,6,6,6,6,6,6,1
JAPANESE,38k,1,1,6,1,1,1,1,1,6,6,6,6
JAPANESE,38m,1,1,1,6,6,6,6,6,1,1,1,6
KOREAN,39b,1,1,6,1,1,1,1,1,1,6,6,6
KOREAN,39n,1,1,6,6,6,6,6,6,6,6,6,1
KOREAN,39t,1,1,1,6,6,6,6,6,1,1,1,6
BASQUE,40ba,1,1,6,1,6,6,6,6,6,6,6,6
BASQUE,40bi,0,1,6,6,1,1,6,6,6,6,6,6
BASQUE,40e,1,1,6,6,6,6,6,6,6,1,6,1
BASQUE,40i,0,1,1,6,6,6,1,1,1,1,1,6